,Label,Temperature [Â°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
2385,Run_2386,40.0,600.0,550.0,1e-09,100.0,31836.78501292404
2386,Run_2387,40.0,600.0,550.0,1e-08,100.0,32173.217880545413
2387,Run_2388,40.0,600.0,550.0,1e-07,100.0,32265.185511921725
2388,Run_2389,40.0,600.0,550.0,1e-06,100.0,32290.632421142407
2389,Run_2390,40.0,600.0,550.0,1e-05,100.0,32354.70853427218
2390,Run_2391,40.0,600.0,550.0,0.0001,100.0,32411.262224615675
2391,Run_2392,40.0,600.0,550.0,0.0032,100.0,32325.191726123827
2392,Run_2393,40.0,600.0,660.0,1e-10,100.0,38531.17788193961
2393,Run_2394,40.0,600.0,660.0,1e-09,100.0,38647.10275899984
2394,Run_2395,40.0,600.0,660.0,1e-08,100.0,38730.99878960771
2395,Run_2396,40.0,600.0,660.0,1e-07,100.0,38740.7919714165
2396,Run_2397,40.0,600.0,660.0,1e-06,100.0,38851.70944934046
2397,Run_2398,40.0,600.0,660.0,1e-05,100.0,38894.50474860378
2398,Run_2399,40.0,600.0,660.0,0.0001,100.0,38884.443830565964
2399,Run_2400,40.0,600.0,660.0,0.0032,100.0,38799.31420729612
2464,Run_2465,40.0,800.0,550.0,1e-10,100.0,31974.300013128235
2465,Run_2466,40.0,800.0,550.0,1e-09,100.0,31964.439747374177
2466,Run_2467,40.0,800.0,550.0,1e-08,100.0,32223.26556992304
2467,Run_2468,40.0,800.0,550.0,1e-07,100.0,32234.554089218935
2468,Run_2469,40.0,800.0,550.0,1e-06,100.0,32306.038620922274
2469,Run_2470,40.0,800.0,550.0,1e-05,100.0,32358.172074102076
2470,Run_2471,40.0,800.0,550.0,0.0001,100.0,32404.627742849392
2471,Run_2472,40.0,800.0,550.0,0.0032,100.0,32305.56102046899
2472,Run_2473,40.0,800.0,660.0,1e-10,100.0,38526.367656851275
2473,Run_2474,40.0,800.0,660.0,1e-09,100.0,38630.764442167616
2474,Run_2475,40.0,800.0,660.0,1e-08,100.0,38750.86798460721
2475,Run_2476,40.0,800.0,660.0,1e-07,100.0,38771.99451722838
2476,Run_2477,40.0,800.0,660.0,1e-06,100.0,38860.45713432459
2477,Run_2478,40.0,800.0,660.0,1e-05,100.0,38904.631812409934
2478,Run_2479,40.0,800.0,660.0,0.0001,100.0,38903.27962461169
2479,Run_2480,40.0,800.0,660.0,0.0032,100.0,38807.46188004205
2544,Run_2545,40.0,900.0,550.0,1e-10,100.0,31965.99972049008
2545,Run_2546,40.0,900.0,550.0,1e-09,100.0,31985.968096602348
2546,Run_2547,40.0,900.0,550.0,1e-08,100.0,32218.749730393927
2547,Run_2548,40.0,900.0,550.0,1e-07,100.0,32224.611051209322
2548,Run_2549,40.0,900.0,550.0,1e-06,100.0,32312.08494146151
2549,Run_2550,40.0,900.0,550.0,1e-05,100.0,32358.033833859095
2550,Run_2551,40.0,900.0,550.0,0.0001,100.0,32400.626495490258
2551,Run_2552,40.0,900.0,550.0,0.0032,100.0,32297.03223974156
2552,Run_2553,40.0,900.0,660.0,1e-10,100.0,38556.93774062673
2553,Run_2554,40.0,900.0,660.0,1e-09,100.0,38575.42795583803
2554,Run_2555,40.0,900.0,660.0,1e-08,100.0,38765.28164659902
2555,Run_2556,40.0,900.0,660.0,1e-07,100.0,38799.4256038479
2556,Run_2557,40.0,900.0,660.0,1e-06,100.0,38862.76641586236
2557,Run_2558,40.0,900.0,660.0,1e-05,100.0,38907.76174592146
2558,Run_2559,40.0,900.0,660.0,0.0001,100.0,38908.917197076065
2559,Run_2560,40.0,900.0,660.0,0.0032,100.0,38809.980503597166
2624,Run_2625,40.0,1000.0,550.0,1e-10,100.0,31955.957943561836
2625,Run_2626,40.0,1000.0,550.0,1e-09,100.0,32021.86097382596
2626,Run_2627,40.0,1000.0,550.0,1e-08,100.0,32213.392836154973
2627,Run_2628,40.0,1000.0,550.0,1e-07,100.0,32242.196356555378
2628,Run_2629,40.0,1000.0,550.0,1e-06,100.0,32317.21602615591
2629,Run_2630,40.0,1000.0,550.0,1e-05,100.0,32357.480203459996
2630,Run_2631,40.0,1000.0,550.0,0.0001,100.0,32396.545650154123
2631,Run_2632,40.0,1000.0,550.0,0.0032,100.0,32344.836563138622
2632,Run_2633,40.0,1000.0,660.0,1e-10,100.0,38583.05237425196
2633,Run_2634,40.0,1000.0,660.0,1e-09,100.0,38641.9200944968
2634,Run_2635,40.0,1000.0,660.0,1e-08,100.0,38777.57810887139
2635,Run_2636,40.0,1000.0,660.0,1e-07,100.0,38814.71721678215
2636,Run_2637,40.0,1000.0,660.0,1e-06,100.0,38863.8528930761
2637,Run_2638,40.0,1000.0,660.0,1e-05,100.0,38910.104427426544
2638,Run_2639,40.0,1000.0,660.0,0.0001,100.0,38913.38307053562
2639,Run_2640,40.0,1000.0,660.0,0.0032,100.0,38812.18214061574
2865,Run_2866,50.0,100.0,550.0,1e-09,90.92340582359402,28747.460730720966
2866,Run_2867,50.0,100.0,550.0,1e-08,90.92340582359402,28791.058274195897
2867,Run_2868,50.0,100.0,550.0,1e-07,90.92339913830952,28753.025436671986
2868,Run_2869,50.0,100.0,550.0,1e-06,90.92331891489546,28794.594308778593
2869,Run_2870,50.0,100.0,550.0,1e-05,90.92249662490094,28803.041684600736
2870,Run_2871,50.0,100.0,550.0,0.0001,90.91431383666324,28804.51968443526
2944,Run_2945,50.0,200.0,550.0,1e-10,100.0,31824.543230592793
2945,Run_2946,50.0,200.0,550.0,1e-09,100.0,31686.942957984884
2946,Run_2947,50.0,200.0,550.0,1e-08,100.0,31852.02418596746
2947,Run_2948,50.0,200.0,550.0,1e-07,100.0,31904.02168116594
2948,Run_2949,50.0,200.0,550.0,1e-06,100.0,31955.062286312015
2949,Run_2950,50.0,200.0,550.0,1e-05,100.0,31929.594071218562
2950,Run_2951,50.0,200.0,550.0,0.0001,100.0,31771.598576150183
2951,Run_2952,50.0,200.0,550.0,0.0032,100.0,31786.530195711177
2952,Run_2953,50.0,200.0,660.0,1e-10,95.1035365092672,35827.444683418755
2953,Run_2954,50.0,200.0,660.0,1e-09,95.10353706637426,35831.49882811545
2954,Run_2955,50.0,200.0,660.0,1e-08,95.10353706637422,35714.11266129516
2955,Run_2956,50.0,200.0,660.0,1e-07,95.1035259242334,35815.432851320584
2956,Run_2957,50.0,200.0,660.0,1e-06,95.10344235817703,35782.80940654316
2957,Run_2958,50.0,200.0,660.0,1e-05,95.10258441333188,35732.086382886344
2958,Run_2959,50.0,200.0,660.0,0.0001,95.0940272491617,35789.14783718553
2959,Run_2960,50.0,200.0,660.0,0.0032,94.79920620236118,35719.10944193548
3024,Run_3025,50.0,300.0,550.0,1e-10,100.0,32268.594655121946
3025,Run_3026,50.0,300.0,550.0,1e-09,100.0,32290.31381102221
3026,Run_3027,50.0,300.0,550.0,1e-08,100.0,32305.702271930375
3027,Run_3028,50.0,300.0,550.0,1e-07,100.0,32319.38507567406
3028,Run_3029,50.0,300.0,550.0,1e-06,100.0,32329.196211939037
3029,Run_3030,50.0,300.0,550.0,1e-05,100.0,32328.470047523337
3030,Run_3031,50.0,300.0,550.0,0.0001,100.0,32333.1599018006
3031,Run_3032,50.0,300.0,550.0,0.0032,100.0,32238.868735918037
3032,Run_3033,50.0,300.0,660.0,1e-10,100.0,38626.28049600634
3033,Run_3034,50.0,300.0,660.0,1e-09,100.0,38641.05794399051
3034,Run_3035,50.0,300.0,660.0,1e-08,100.0,38631.397182083085
3035,Run_3036,50.0,300.0,660.0,1e-07,100.0,38669.37125577455
3036,Run_3037,50.0,300.0,660.0,1e-06,100.0,38690.93587349669
3037,Run_3038,50.0,300.0,660.0,1e-05,100.0,38702.61308173269
3038,Run_3039,50.0,300.0,660.0,0.0001,100.0,38667.92558937286
3039,Run_3040,50.0,300.0,660.0,0.0032,100.0,38565.93737894748
3104,Run_3105,50.0,400.0,550.0,1e-10,100.0,32280.953116130502
3105,Run_3106,50.0,400.0,550.0,1e-09,100.0,32307.920007723274
3106,Run_3107,50.0,400.0,550.0,1e-08,100.0,32319.86175538434
3107,Run_3108,50.0,400.0,550.0,1e-07,100.0,32331.46543070963
3108,Run_3109,50.0,400.0,550.0,1e-06,100.0,32340.198638328522
3109,Run_3110,50.0,400.0,550.0,1e-05,100.0,32344.03541073675
3110,Run_3111,50.0,400.0,550.0,0.0001,100.0,32345.781362401547
3111,Run_3112,50.0,400.0,550.0,0.0032,100.0,32248.60161794688
3112,Run_3113,50.0,400.0,660.0,1e-10,100.0,38697.83150253402
3113,Run_3114,50.0,400.0,660.0,1e-09,100.0,38719.73674905237
3114,Run_3115,50.0,400.0,660.0,1e-08,100.0,38740.71717813634
3115,Run_3116,50.0,400.0,660.0,1e-07,100.0,38745.405612139584
3116,Run_3117,50.0,400.0,660.0,1e-06,100.0,38752.67012975135
3117,Run_3118,50.0,400.0,660.0,1e-05,100.0,38757.569122910994
3118,Run_3119,50.0,400.0,660.0,0.0001,100.0,38773.27744943001
3119,Run_3120,50.0,400.0,660.0,0.0032,100.0,38657.923359614215
3184,Run_3185,50.0,500.0,550.0,1e-10,100.0,32290.63691554438
3185,Run_3186,50.0,500.0,550.0,1e-09,100.0,32308.146869103744
3186,Run_3187,50.0,500.0,550.0,1e-08,100.0,32327.39757986478
3187,Run_3188,50.0,500.0,550.0,1e-07,100.0,32329.947633044078
3188,Run_3189,50.0,500.0,550.0,1e-06,100.0,32341.669044829807
3189,Run_3190,50.0,500.0,550.0,1e-05,100.0,32346.086785503398
3190,Run_3191,50.0,500.0,550.0,0.0001,100.0,32347.499382091784
3191,Run_3192,50.0,500.0,550.0,0.0032,100.0,32252.76861779336
3192,Run_3193,50.0,500.0,660.0,1e-10,100.0,38730.92751813054
3193,Run_3194,50.0,500.0,660.0,1e-09,100.0,38745.450373885615
3194,Run_3195,50.0,500.0,660.0,1e-08,100.0,38767.41438221269
3195,Run_3196,50.0,500.0,660.0,1e-07,100.0,38773.85447963511
3196,Run_3197,50.0,500.0,660.0,1e-06,100.0,38776.99027310055
3197,Run_3198,50.0,500.0,660.0,1e-05,100.0,38786.706972876884
3198,Run_3199,50.0,500.0,660.0,0.0001,100.0,38783.555850702316
3199,Run_3200,50.0,500.0,660.0,0.0032,100.0,38672.072533606035
3264,Run_3265,50.0,600.0,550.0,1e-10,100.0,32292.79019842428
3265,Run_3266,50.0,600.0,550.0,1e-09,100.0,32314.95048346854
3266,Run_3267,50.0,600.0,550.0,1e-08,100.0,32327.371065654337
3267,Run_3268,50.0,600.0,550.0,1e-07,100.0,32335.588639660135
3268,Run_3269,50.0,600.0,550.0,1e-06,100.0,32345.59728635373
3269,Run_3270,50.0,600.0,550.0,1e-05,100.0,32350.501131149394
3270,Run_3271,50.0,600.0,550.0,0.0001,100.0,32349.995639480017
3271,Run_3272,50.0,600.0,550.0,0.0032,100.0,32252.597015798598
3272,Run_3273,50.0,600.0,660.0,1e-10,100.0,38746.479403243095
3273,Run_3274,50.0,600.0,660.0,1e-09,100.0,38755.15968017743
3274,Run_3275,50.0,600.0,660.0,1e-08,100.0,38771.11806823724
3275,Run_3276,50.0,600.0,660.0,1e-07,100.0,38782.18974515458
3276,Run_3277,50.0,600.0,660.0,1e-06,100.0,38792.50304094053
3277,Run_3278,50.0,600.0,660.0,1e-05,100.0,38794.71091466406
3278,Run_3279,50.0,600.0,660.0,0.0001,100.0,38793.94746232363
3279,Run_3280,50.0,600.0,660.0,0.0032,100.0,38686.38181123228
3344,Run_3345,50.0,800.0,550.0,1e-10,100.0,32303.796104249002
3345,Run_3346,50.0,800.0,550.0,1e-09,100.0,32318.889096064104
3346,Run_3347,50.0,800.0,550.0,1e-08,100.0,32331.028507316023
3347,Run_3348,50.0,800.0,550.0,1e-07,100.0,32340.816507794112
3348,Run_3349,50.0,800.0,550.0,1e-06,100.0,32346.612915634745
3349,Run_3350,50.0,800.0,550.0,1e-05,100.0,32352.292566549688
3350,Run_3351,50.0,800.0,550.0,0.0001,100.0,32352.15901933904
3351,Run_3352,50.0,800.0,550.0,0.0032,100.0,32254.915644849898
3352,Run_3353,50.0,800.0,660.0,1e-10,100.0,38758.58677638895
3353,Run_3354,50.0,800.0,660.0,1e-09,100.0,38767.77936483667
3354,Run_3355,50.0,800.0,660.0,1e-08,100.0,38783.66449326033
3355,Run_3356,50.0,800.0,660.0,1e-07,100.0,38794.042964664084
3356,Run_3357,50.0,800.0,660.0,1e-06,100.0,38803.10077819983
3357,Run_3358,50.0,800.0,660.0,1e-05,100.0,38804.774472654506
3358,Run_3359,50.0,800.0,660.0,0.0001,100.0,38806.57947825612
3359,Run_3360,50.0,800.0,660.0,0.0032,100.0,38692.87604542589
3424,Run_3425,50.0,900.0,550.0,1e-10,100.0,32304.594167420168
3425,Run_3426,50.0,900.0,550.0,1e-09,100.0,32318.717843015944
3426,Run_3427,50.0,900.0,550.0,1e-08,100.0,32333.629477820254
3427,Run_3428,50.0,900.0,550.0,1e-07,100.0,32340.091018489537
3428,Run_3429,50.0,900.0,550.0,1e-06,100.0,32347.845304739025
3429,Run_3430,50.0,900.0,550.0,1e-05,100.0,32351.013094809095
3430,Run_3431,50.0,900.0,550.0,0.0001,100.0,32350.212413242458
3431,Run_3432,50.0,900.0,550.0,0.0032,100.0,32255.537376525943
3432,Run_3433,50.0,900.0,660.0,1e-10,100.0,38759.32702597064
3433,Run_3434,50.0,900.0,660.0,1e-09,100.0,38769.217275182804
3434,Run_3435,50.0,900.0,660.0,1e-08,100.0,38787.19737899822
3435,Run_3436,50.0,900.0,660.0,1e-07,100.0,38798.763070911526
3436,Run_3437,50.0,900.0,660.0,1e-06,100.0,38805.318071230235
3437,Run_3438,50.0,900.0,660.0,1e-05,100.0,38803.43147079395
3438,Run_3439,50.0,900.0,660.0,0.0001,100.0,38803.688889923804
3439,Run_3440,50.0,900.0,660.0,0.0032,100.0,38694.724837687594
3504,Run_3505,50.0,1000.0,550.0,1e-10,100.0,32306.879205008387
3505,Run_3506,50.0,1000.0,550.0,1e-09,100.0,32317.51994798195
3506,Run_3507,50.0,1000.0,550.0,1e-08,100.0,32335.651757144915
3507,Run_3508,50.0,1000.0,550.0,1e-07,100.0,32343.330543941658
3508,Run_3509,50.0,1000.0,550.0,1e-06,100.0,32349.591535217653
3509,Run_3510,50.0,1000.0,550.0,1e-05,100.0,32354.31389359584
3510,Run_3511,50.0,1000.0,550.0,0.0001,100.0,32353.68977543212
3511,Run_3512,50.0,1000.0,550.0,0.0032,100.0,32257.72201718342
3512,Run_3513,50.0,1000.0,660.0,1e-10,100.0,38763.556072994834
3513,Run_3514,50.0,1000.0,660.0,1e-09,100.0,38771.2727679918
3514,Run_3515,50.0,1000.0,660.0,1e-08,100.0,38792.07698899612
3515,Run_3516,50.0,1000.0,660.0,1e-07,100.0,38801.2567748925
3516,Run_3517,50.0,1000.0,660.0,1e-06,100.0,38807.52263605491
3517,Run_3518,50.0,1000.0,660.0,1e-05,100.0,38812.772091203
3518,Run_3519,50.0,1000.0,660.0,0.0001,100.0,38811.33084101211
3519,Run_3520,50.0,1000.0,660.0,0.0032,100.0,38694.12680964152
3904,Run_3905,60.0,300.0,550.0,1e-10,96.0320054235209,30343.6350015068
3905,Run_3906,60.0,300.0,550.0,1e-09,96.03200609204934,30330.82263298173
3906,Run_3907,60.0,300.0,550.0,1e-08,96.03200609204934,30396.01354403186
3907,Run_3908,60.0,300.0,550.0,1e-07,96.03199272148032,30319.86132351811
3908,Run_3909,60.0,300.0,550.0,1e-06,96.03190581278172,30361.656881511688
3909,Run_3910,60.0,300.0,550.0,1e-05,96.0310434110802,30399.339912094107
3910,Run_3911,60.0,300.0,550.0,0.0001,96.02239933821144,30310.611787562426
3911,Run_3912,60.0,300.0,550.0,0.0032,95.72470361907251,30294.214089183053
3984,Run_3985,60.0,400.0,550.0,1e-10,100.0,32154.418321223773
3985,Run_3986,60.0,400.0,550.0,1e-09,100.0,32159.84277609834
3986,Run_3987,60.0,400.0,550.0,1e-08,100.0,32168.702400180937
3987,Run_3988,60.0,400.0,550.0,1e-07,100.0,32162.092240237966
3988,Run_3989,60.0,400.0,550.0,1e-06,100.0,32158.96258683479
3989,Run_3990,60.0,400.0,550.0,1e-05,100.0,32164.798077839907
3990,Run_3991,60.0,400.0,550.0,0.0001,100.0,32163.892729997817
3991,Run_3992,60.0,400.0,550.0,0.0032,100.0,32072.820684726343
3992,Run_3993,60.0,400.0,660.0,1e-10,97.11446451818746,36695.6968310132
3993,Run_3994,60.0,400.0,660.0,1e-09,97.11446507529452,36711.469907991195
3994,Run_3995,60.0,400.0,660.0,1e-08,97.1144650752945,36749.25181169006
3995,Run_3996,60.0,400.0,660.0,1e-07,97.11445393315368,36790.7844130106
3996,Run_3997,60.0,400.0,660.0,1e-06,97.11436479602688,36715.90152393763
3997,Run_3998,60.0,400.0,660.0,1e-05,97.11349013797044,36760.1330686337
3998,Run_3999,60.0,400.0,660.0,0.0001,97.10475469954672,36709.08798842727
3999,Run_4000,60.0,400.0,660.0,0.0032,96.80369962494254,36601.562030287634
4064,Run_4065,60.0,500.0,550.0,1e-10,100.0,32172.28487467278
4065,Run_4066,60.0,500.0,550.0,1e-09,100.0,32174.809875280698
4066,Run_4067,60.0,500.0,550.0,1e-08,100.0,32182.004770264957
4067,Run_4068,60.0,500.0,550.0,1e-07,100.0,32179.29597946108
4068,Run_4069,60.0,500.0,550.0,1e-06,100.0,32180.588944148098
4069,Run_4070,60.0,500.0,550.0,1e-05,100.0,32185.972785541504
4070,Run_4071,60.0,500.0,550.0,0.0001,100.0,32182.018403635524
4071,Run_4072,60.0,500.0,550.0,0.0032,100.0,32090.659436244085
4072,Run_4073,60.0,500.0,660.0,1e-10,100.0,38561.76965192732
4073,Run_4074,60.0,500.0,660.0,1e-09,100.0,38570.84667780817
4074,Run_4075,60.0,500.0,660.0,1e-08,100.0,38574.56029405501
4075,Run_4076,60.0,500.0,660.0,1e-07,100.0,38569.216244887844
4076,Run_4077,60.0,500.0,660.0,1e-06,100.0,38586.53859734718
4077,Run_4078,60.0,500.0,660.0,1e-05,100.0,38571.7762378918
4078,Run_4079,60.0,500.0,660.0,0.0001,100.0,38579.105298046714
4079,Run_4080,60.0,500.0,660.0,0.0032,100.0,38479.34027162521
4144,Run_4145,60.0,600.0,550.0,1e-10,100.0,32174.867275531673
4145,Run_4146,60.0,600.0,550.0,1e-09,100.0,32180.560660146097
4146,Run_4147,60.0,600.0,550.0,1e-08,100.0,32184.220173444955
4147,Run_4148,60.0,600.0,550.0,1e-07,100.0,32186.496463057018
4148,Run_4149,60.0,600.0,550.0,1e-06,100.0,32188.188596045104
4149,Run_4150,60.0,600.0,550.0,1e-05,100.0,32192.343197989718
4150,Run_4151,60.0,600.0,550.0,0.0001,100.0,32186.88714125547
4151,Run_4152,60.0,600.0,550.0,0.0032,100.0,32090.704236727117
4152,Run_4153,60.0,600.0,660.0,1e-10,100.0,38588.96081337089
4153,Run_4154,60.0,600.0,660.0,1e-09,100.0,38597.22885726575
4154,Run_4155,60.0,600.0,660.0,1e-08,100.0,38596.21903236859
4155,Run_4156,60.0,600.0,660.0,1e-07,100.0,38600.33420153395
4156,Run_4157,60.0,600.0,660.0,1e-06,100.0,38610.79642726546
4157,Run_4158,60.0,600.0,660.0,1e-05,100.0,38608.37199695007
4158,Run_4159,60.0,600.0,660.0,0.0001,100.0,38608.83839767389
4159,Run_4160,60.0,600.0,660.0,0.0032,100.0,38489.61065817516
4224,Run_4225,60.0,800.0,550.0,1e-10,100.0,32182.673652616515
4225,Run_4226,60.0,800.0,550.0,1e-09,100.0,32187.094582525402
4226,Run_4227,60.0,800.0,550.0,1e-08,100.0,32190.28351708133
4227,Run_4228,60.0,800.0,550.0,1e-07,100.0,32192.504130404763
4228,Run_4229,60.0,800.0,550.0,1e-06,100.0,32194.696559975968
4229,Run_4230,60.0,800.0,550.0,1e-05,100.0,32193.84500461673
4230,Run_4231,60.0,800.0,550.0,0.0001,100.0,32192.496267463586
4231,Run_4232,60.0,800.0,550.0,0.0032,100.0,32096.717110849364
4232,Run_4233,60.0,800.0,660.0,1e-10,100.0,38606.00095719459
4233,Run_4234,60.0,800.0,660.0,1e-09,100.0,38611.57718783341
4234,Run_4235,60.0,800.0,660.0,1e-08,100.0,38620.54299691427
4235,Run_4236,60.0,800.0,660.0,1e-07,100.0,38618.54333731856
4236,Run_4237,60.0,800.0,660.0,1e-06,100.0,38619.57371203082
4237,Run_4238,60.0,800.0,660.0,1e-05,100.0,38624.27231592491
4238,Run_4239,60.0,800.0,660.0,0.0001,100.0,38622.750584415844
4239,Run_4240,60.0,800.0,660.0,0.0032,100.0,38506.479114711954
4304,Run_4305,60.0,900.0,550.0,1e-10,100.0,32183.709067566542
4305,Run_4306,60.0,900.0,550.0,1e-09,100.0,32186.996257745912
4306,Run_4307,60.0,900.0,550.0,1e-08,100.0,32191.38360714735
4307,Run_4308,60.0,900.0,550.0,1e-07,100.0,32193.722209663832
4308,Run_4309,60.0,900.0,550.0,1e-06,100.0,32196.28343450892
4309,Run_4310,60.0,900.0,550.0,1e-05,100.0,32196.076757210332
4310,Run_4311,60.0,900.0,550.0,0.0001,100.0,32196.103888219764
4311,Run_4312,60.0,900.0,550.0,0.0032,100.0,32096.716908600392
4312,Run_4313,60.0,900.0,660.0,1e-10,100.0,38612.90762955744
4313,Run_4314,60.0,900.0,660.0,1e-09,100.0,38614.7867399593
4314,Run_4315,60.0,900.0,660.0,1e-08,100.0,38618.99956170903
4315,Run_4316,60.0,900.0,660.0,1e-07,100.0,38622.16533556921
4316,Run_4317,60.0,900.0,660.0,1e-06,100.0,38626.547936275
4317,Run_4318,60.0,900.0,660.0,1e-05,100.0,38625.70444866647
4318,Run_4319,60.0,900.0,660.0,0.0001,100.0,38623.44839173884
4319,Run_4320,60.0,900.0,660.0,0.0032,100.0,38505.6804241614
4384,Run_4385,60.0,1000.0,550.0,1e-10,100.0,32186.008384154633
4385,Run_4386,60.0,1000.0,550.0,1e-09,100.0,32189.207383765224
4386,Run_4387,60.0,1000.0,550.0,1e-08,100.0,32194.585365117215
4387,Run_4388,60.0,1000.0,550.0,1e-07,100.0,32194.373296035126
4388,Run_4389,60.0,1000.0,550.0,1e-06,100.0,32196.837747761558
4389,Run_4390,60.0,1000.0,550.0,1e-05,100.0,32196.788034215046
4390,Run_4391,60.0,1000.0,550.0,0.0001,100.0,32194.577674851815
4391,Run_4392,60.0,1000.0,550.0,0.0032,100.0,32098.059631550943
4392,Run_4393,60.0,1000.0,660.0,1e-10,100.0,38616.88600004444
4393,Run_4394,60.0,1000.0,660.0,1e-09,100.0,38617.183883921345
4394,Run_4395,60.0,1000.0,660.0,1e-08,100.0,38621.73313739884
4395,Run_4396,60.0,1000.0,660.0,1e-07,100.0,38624.50024771995
4396,Run_4397,60.0,1000.0,660.0,1e-06,100.0,38628.67737284497
4397,Run_4398,60.0,1000.0,660.0,1e-05,100.0,38627.277244984216
4398,Run_4399,60.0,1000.0,660.0,0.0001,100.0,38624.38856446069
4399,Run_4400,60.0,1000.0,660.0,0.0032,100.0,38508.440287222744
4864,Run_4865,70.0,400.0,550.0,1e-10,95.19810308985302,30204.110469921015
4865,Run_4866,70.0,400.0,550.0,1e-09,95.19809707309696,30218.733053674125
4866,Run_4867,70.0,400.0,550.0,1e-08,95.19809707309696,30224.33013017333
4867,Run_4868,70.0,400.0,550.0,1e-07,95.19809038781246,30189.963068939047
4868,Run_4869,70.0,400.0,550.0,1e-06,95.19800347911386,30189.467933606815
4869,Run_4870,70.0,400.0,550.0,1e-05,95.19714776269684,30216.98354239354
4870,Run_4871,70.0,400.0,550.0,0.0001,95.18857722795764,30220.830644663427
4871,Run_4872,70.0,400.0,550.0,0.0032,94.89346871392333,30108.63929844764
4944,Run_4945,70.0,500.0,550.0,1e-10,100.0,32010.427633738534
