Label,Temperature [Â°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_481,20.0,500.0,32.0,1e-10,100.0,902.7792171248386
Run_489,20.0,500.0,80.0,1e-10,100.0,3054.946815209356
Run_497,20.0,500.0,160.0,1e-10,100.0,7063.079975294485
Run_505,20.0,500.0,250.0,1e-10,100.0,11733.30572650477
Run_513,20.0,500.0,300.0,1e-10,100.0,14305.933327094855
Run_521,20.0,500.0,350.0,1e-10,100.0,16962.443413342473
Run_529,20.0,500.0,400.0,1e-10,100.0,19708.248264206413
Run_537,20.0,500.0,450.0,1e-10,100.0,22382.95105784804
Run_545,20.0,500.0,550.0,1e-10,100.0,27678.884872514118
Run_553,20.0,500.0,660.0,1e-10,100.0,33704.69849896942
Run_4001,60.0,500.0,32.0,1e-10,100.0,1844.5652917773996
Run_4009,60.0,500.0,80.0,1e-10,100.0,4660.351958828967
Run_4017,60.0,500.0,160.0,1e-10,100.0,9354.177919460535
Run_4025,60.0,500.0,250.0,1e-10,100.0,14628.625002531406
Run_4033,60.0,500.0,300.0,1e-10,100.0,17555.64521652448
Run_4041,60.0,500.0,350.0,1e-10,100.0,20481.69824558503
Run_4049,60.0,500.0,400.0,1e-10,100.0,23406.1531706648
Run_4057,60.0,500.0,450.0,1e-10,100.0,26328.926261541015
Run_4065,60.0,500.0,550.0,1e-10,100.0,32172.28487467278
Run_4073,60.0,500.0,660.0,1e-10,100.0,38561.76965192732
Run_7521,100.0,500.0,32.0,1e-10,98.69973837332988,1826.0151620571219
Run_7529,100.0,500.0,80.0,1e-10,98.70152626910868,4565.163353491692
Run_7537,100.0,500.0,160.0,1e-10,98.70210767994683,9130.396783947495
Run_7545,100.0,500.0,250.0,1e-10,98.70231275940598,14266.265145507046
Run_7553,100.0,500.0,300.0,1e-10,98.70236889351187,17119.509880787024
Run_7561,100.0,500.0,350.0,1e-10,98.702403736578,19972.730598540584
Run_7569,100.0,500.0,400.0,1e-10,98.70240780743896,22825.889404008918
Run_7577,100.0,500.0,450.0,1e-10,98.68386302320133,25672.738665700675
Run_7585,100.0,500.0,550.0,1e-10,89.91508374858502,28590.39248226255
Run_7593,100.0,500.0,660.0,1e-10,83.20160193621828,31746.655085909184
